Device Name(Line)Sort Descending,Description,Device Type,Device Protocol,Status,Last Registered,Last Active,Unified CM,IPv4 Address
SEP1CE6C79A3837,SEPCCEF488D8684,Cisco 8945,SCCP,Registered,Now,"Apr 4, 2022 5:55:29 AM",cucmsub1.hwle.com.au,10.27.20.32
SEP1CE6C79A38E7,SEP1CE6C79A38E7,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 7:47:22 AM",cucmpub.hwle.com.au,10.34.20.248
SEP1CE6C79A39DF,SEP1CE6C79A3247,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 9:37:07 AM",cucmsub1.hwle.com.au,10.21.20.33
SEP1CE6C79A3A01,SEP1CE6C79A3A01,Cisco 8945,SCCP,Registered,Now,"Mar 31, 2022 3:22:14 AM",cucmpub.hwle.com.au,10.36.20.109
SEP1CE6C79A3A17,SEP1CE6C79A3DBB,Cisco 8945,SCCP,Registered,Now,"Apr 4, 2022 1:49:07 AM",cucmsub1.hwle.com.au,10.21.20.187
SEP1CE6C79A3A7F,SEP1CE6C79A3A7F,Cisco 8945,SCCP,Registered,Now,"Mar 31, 2022 4:28:41 AM",cucmsub1.hwle.com.au,10.26.20.79
SEP1CE6C79A3AA5,SEP1CE6C79A3AA5,Cisco 8945,SCCP,Registered,Now,"Apr 5, 2022 7:23:59 AM",cucmsub1.hwle.com.au,10.23.20.181
SEP1CE6C79A3B67,SEP1CE6C79A3B67,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 5:08:03 AM",cucmsub1.hwle.com.au,10.20.20.55
SEP1CE6C79A3BB1,SEP1CE6C79A3D59 ,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 6:52:29 AM",cucmsub1.hwle.com.au,10.20.20.42
SEP1CE6C79A3BCD,SEP1CE6C79A3BCD,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 5:38:26 AM",cucmsub1.hwle.com.au,10.20.20.77
SEP1CE6C79A3BD3,SEP1CE6C79A3BD3,Cisco 8945,SCCP,Registered,Now,"Mar 1, 2022 11:56:30 PM",cucmsub1.hwle.com.au,10.27.20.62
SEP1CE6C79A3BF3,SEP1CE6C79A3BF3,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 1:39:42 AM",cucmsub1.hwle.com.au,10.20.20.152
SEP1CE6C79A3C25,SEP1CE6C79A3C25,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 6:08:38 AM",cucmsub1.hwle.com.au,10.45.20.79
SEP1CE6C79A3C77,SEP1CE6C79A64C7,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 12:58:04 AM",cucmsub1.hwle.com.au,10.26.20.168
SEP1CE6C79A3CAD,SEP1CE6C79A3CAD,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 7:01:45 AM",cucmsub1.hwle.com.au,10.26.20.51
SEP1CE6C79A3D59,SEP1CE6C79A3D59 ,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 2:38:03 AM",cucmsub1.hwle.com.au,10.20.20.59
SEP1CE6C79A3DBB,SEP1CE6C79A3DBB,Cisco 8945,SCCP,Registered,Now,"Mar 29, 2022 3:19:00 AM",cucmsub1.hwle.com.au,10.21.20.50
SEP1CE6C79A3DC1,SEP1CE6C79A3DC1,Cisco 8945,SCCP,Registered,Now,"Mar 3, 2022 5:53:36 AM",cucmsub1.hwle.com.au,10.26.20.143
SEP1CE6C79A3DDB,SEP1CE6C79A3DDB,Cisco 8945,SCCP,Registered,Now,"Apr 4, 2022 2:17:43 AM",cucmsub1.hwle.com.au,10.22.20.43
SEP1CE6C79A3E37,SEP1CE6C79A3E37,Cisco 8945,SCCP,Registered,Now,"Apr 6, 2022 5:20:31 AM",cucmsub1.hwle.com.au,10.22.20.38
SEP1CE6C79A3E4B,SEP1CE6C79A3E4B,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 6:59:57 AM",cucmsub1.hwle.com.au,10.22.20.36
SEP1CE6C79A3E55,SEP1CE6C79A3E55,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 11:04:03 PM",cucmsub1.hwle.com.au,10.27.20.141
SEP1CE6C79A3EF5,SEP1CE6C79A3EF5,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 6:03:52 AM",cucmsub1.hwle.com.au,10.23.20.32
SEP1CE6C79A3F11,SEP1CE6C79A3F11,Cisco 8945,SCCP,Registered,Now,"Mar 22, 2022 10:16:00 PM",cucmsub1.hwle.com.au,10.24.20.167
SEP1CE6C79A406D,SEP1CE6C79A406D,Cisco 8945,SCCP,None,Never,,,None
SEP1CE6C79A4093,SEP1CE6C79A4093,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 4:27:30 AM",cucmpub.hwle.com.au,10.35.20.200
SEP1CE6C79A40B1,SEPCCEF488D8684,Cisco 8945,SCCP,Registered,Now,"Mar 30, 2022 12:30:48 AM",cucmsub1.hwle.com.au,10.20.20.156
SEP1CE6C79A41AD,SEP1CE6C79A41AD,Cisco 8945,SCCP,Registered,Now,"Apr 6, 2022 4:20:01 AM",cucmpub.hwle.com.au,10.36.20.198
SEP1CE6C79A41DD,SEP1CE6C79A41DD,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 9:44:00 AM",cucmsub1.hwle.com.au,10.26.20.177
SEP1CE6C79A41E9,SEP1CE6C79A41E9,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 12:28:19 AM",cucmpub.hwle.com.au,10.35.20.91
SEP1CE6C79A41F3,SEP1CE6C79A41F3,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 5:48:56 AM",cucmsub1.hwle.com.au,10.21.20.146
SEP1CE6C79A420F,SEP1CE6C79A420F,Cisco 8945,SCCP,Registered,Now,"Apr 1, 2022 5:39:29 AM",cucmsub1.hwle.com.au,10.26.20.170
SEP1CE6C79A42AB,SEP1CE6C79A42AB,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 5:44:59 AM",cucmsub1.hwle.com.au,10.22.20.143
SEP1CE6C79A46E5,SEP1CE6C79A46E5,Cisco 8945,SCCP,None,Never,,,None
SEP1CE6C79A474F,SEP1CE6C79A474F,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 2:31:16 AM",cucmsub1.hwle.com.au,10.21.20.143
SEP1CE6C79A4769,SEP1CE6C79A4769,Cisco 8945,SCCP,Registered,Now,"Apr 4, 2022 1:21:25 AM",cucmsub1.hwle.com.au,10.26.20.145
SEP1CE6C79A47B1,SEP1CE6C79A47B1,Cisco 8945,SCCP,Registered,Now,"Mar 29, 2022 12:15:20 AM",cucmsub1.hwle.com.au,10.29.20.57
SEP1CE6C79A58E7,SEP1CE6C79A58E7,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 1:52:29 AM",cucmsub1.hwle.com.au,10.24.20.146
SEP1CE6C79A5945,SEP1CE6C79A5945,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 2:13:56 AM",cucmpub.hwle.com.au,10.34.20.178
SEP1CE6C79A5DA7,SEP1CE6C79A5DA7,Cisco 8945,SCCP,Registered,Now,"Mar 2, 2022 10:41:54 PM",cucmpub.hwle.com.au,10.34.20.39
SEP1CE6C79A5DCD,SEP1CE6C79A5DCD,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 7:34:00 AM",cucmpub.hwle.com.au,10.34.20.236
SEP1CE6C79A5E7D,SEP1CE6C79A5945,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 6:06:21 AM",cucmsub1.hwle.com.au,10.50.20.147
SEP1CE6C79A5E8F,SEP1CE6C79A5E8F,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 7:37:29 AM",cucmsub1.hwle.com.au,10.46.20.161
SEP1CE6C79A64C7,SEP1CE6C79A64C7,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 5:28:25 AM",cucmsub1.hwle.com.au,10.27.20.65
SEP1CE6C79A64CB,SEP1CE6C79A64CB,Cisco 8945,SCCP,Registered,Now,"Apr 4, 2022 1:51:29 AM",cucmsub1.hwle.com.au,10.22.20.45
SEP1CE6C79A64CD,SEP1CE6C79A64CD,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 8:14:22 AM",cucmpub.hwle.com.au,10.80.20.42
SEP1CE6C79A64EB,SEP1CE6C79A64EB,Cisco 8945,SCCP,Registered,Now,"Jan 31, 2022 12:51:00 AM",cucmsub1.hwle.com.au,10.29.20.51
SEP1CE6C79A7C49,SEP1CE6C79A7C49,Cisco 8945,SCCP,Registered,Now,"Mar 15, 2022 10:36:04 PM",cucmpub.hwle.com.au,10.34.20.61
SEP1CE6C79A7C9D,SEP1CE6C79A7C9D,Cisco 8945,SCCP,None,Never,,,None
SEP1CE6C79A8E63,SEP1CE6C79A8E63,Cisco 8945,SCCP,Registered,Now,"Apr 10, 2022 11:23:32 PM",cucmsub1.hwle.com.au,10.51.20.145
SEP1CE6C79B2279,SEPB4E9B0B11289,Cisco 8945,SCCP,Registered,Now,"Apr 4, 2022 7:08:56 AM",cucmpub.hwle.com.au,10.89.20.101
SEP1CE6C79B25B9,SEP1CE6C79B25B9,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 1:48:14 AM",cucmsub1.hwle.com.au,10.46.20.164
SEP1CE6C79B3521,SEP1CE6C79B3521,Cisco 8945,SCCP,Registered,Now,"Apr 6, 2022 2:43:24 AM",cucmpub.hwle.com.au,10.36.20.174
SEP1CE6C79B3E0B,SEPDCA5F43E91A0,Cisco 8945,SCCP,Registered,Now,"Mar 30, 2022 10:57:05 PM",cucmpub.hwle.com.au,10.33.20.35
SEP1CE6C79B4185,SEP1CE6C79B4185,Cisco 8945,SCCP,Registered,Now,"Mar 9, 2022 6:48:30 AM",cucmpub.hwle.com.au,10.80.20.160
SEP1CE6C79B52E1,SEP1CE6C79B52E1,Cisco 8945,SCCP,Registered,Now,"Apr 6, 2022 10:45:01 PM",cucmsub1.hwle.com.au,10.51.20.75
SEP1CE6C79B52F3,SEP1CE6C79B52F3,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 6:12:46 AM",cucmpub.hwle.com.au,10.80.20.148
SEP1CE6C79B6F83,SEP1CE6C79B6F83,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 7:26:44 AM",cucmsub1.hwle.com.au,10.79.20.146
SEP1CE6C79B7A19,Sydney Level 10 Meeting Room,Cisco 8945,SCCP,Registered,Now,"Mar 16, 2022 10:53:44 PM",cucmsub1.hwle.com.au,10.20.20.94
SEP1CE6C79B7B75,SEP1CE6C79B7B75,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 5:10:53 AM",cucmsub1.hwle.com.au,10.23.20.59
SEP1CE6C79B7D41,SEP1CE6C79B7D41,Cisco 8945,SCCP,Registered,Now,"Apr 10, 2022 10:10:40 PM",cucmsub1.hwle.com.au,10.51.20.54
SEP1CE6C79B7E39,SEP1CE6C79B7E39,Cisco 8945,SCCP,Registered,Now,"Mar 4, 2022 1:01:20 AM",cucmpub.hwle.com.au,10.89.20.14
SEP1CE6C79B7E97,SEP1CE6C79B7E97,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 7:51:22 AM",cucmpub.hwle.com.au,10.80.20.83
SEP1CE6C79B8A53,SEP1CE6C79B8A53,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 12:34:21 AM",cucmsub1.hwle.com.au,10.46.20.42
SEP1CE6C79B9585,SEP1CE6C79B9585,Cisco 8945,SCCP,None,Never,,,None
SEP1CE6C79B95B5,SEP1CE6C79B95B5,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 12:05:47 AM",cucmsub1.hwle.com.au,10.23.20.196
SEP1CE6C79B95F3,SEP1CE6C79B95F3,Cisco 8945,SCCP,Registered,Now,"Mar 17, 2022 2:18:59 AM",cucmpub.hwle.com.au,10.33.20.36
SEP1CE6C79B972F,SEP1CE6C79B972F,Cisco 8945,SCCP,Registered,Now,"Mar 24, 2022 10:49:41 PM",cucmsub1.hwle.com.au,10.61.20.86
SEP1CE6C79B9881,SEP1CE6C79B9881,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 6:26:05 AM",cucmsub1.hwle.com.au,10.51.20.177
SEP1CE6C79BDF31,Sydney Meeting Room 11 - 2210,Cisco 8945,SCCP,Registered,Now,"Mar 22, 2022 6:09:25 AM",cucmsub1.hwle.com.au,10.24.20.203
SEP1CE6C79BE023,SEP1CE6C79BE023,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 1:55:55 AM",cucmpub.hwle.com.au,10.34.20.206
SEP203A0782345F,SEP203A0782345F,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 8:00:10 AM",cucmpub.hwle.com.au,10.34.20.198
SEP203A07824859,SEP203A07824859,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 7:37:06 AM",cucmsub1.hwle.com.au,10.46.20.150
SEP203A078276E9,SEP203A078276E9,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 2:51:07 AM",cucmpub.hwle.com.au,10.35.20.198
SEP203A078280F7,SEP203A078280F7,Cisco 8945,SCCP,Registered,Now,"Mar 10, 2022 3:50:10 AM",cucmpub.hwle.com.au,10.34.20.214
SEP203A078295C1,SEP64E950CA5116,Cisco 8945,SCCP,Registered,Now,"Mar 15, 2022 4:13:36 AM",cucmpub.hwle.com.au,10.34.20.141
SEP203A0782A35B,SEPCCEF488D860E,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 7:35:50 AM",cucmpub.hwle.com.au,10.35.20.30
SEP203A0782C569,SEP203A0782C569,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 8:26:29 AM",cucmpub.hwle.com.au,10.35.20.115
SEP203A0782E82D,SEP203A0782E82D,Cisco 8945,SCCP,Registered,Now,"Apr 6, 2022 4:05:55 AM",cucmpub.hwle.com.au,10.35.20.152
SEP203A0782F533,SEP203A0782F533,Cisco 8945,SCCP,Registered,Now,"Apr 1, 2022 12:46:28 AM",cucmsub1.hwle.com.au,10.61.20.93
SEP203A0782F771,SEP203A0782F771,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 5:31:23 AM",cucmpub.hwle.com.au,10.35.20.206
SEP203A0782F793,SEP203A0782F793,Cisco 8945,SCCP,Registered,Now,"Mar 25, 2022 12:50:59 AM",cucmsub1.hwle.com.au,10.24.20.195
SEP203A0782F7A7,SEP203A0782F7A7,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 12:15:27 AM",cucmsub1.hwle.com.au,10.51.20.172
SEP203A0782FA6F,SEP203A0782FA6F,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 6:43:02 AM",cucmpub.hwle.com.au,10.34.20.247
SEP203A078300B5,SEPCCEF488D8684,Cisco 8945,SCCP,None,Never,,,None
SEP203A078315F1,SEPCCEF488D860E,Cisco 8945,SCCP,Registered,Now,"Feb 17, 2022 10:08:33 PM",cucmpub.hwle.com.au,10.36.20.199
SEP203A078315F5,SEP203A078315F5,Cisco 8945,SCCP,Registered,Now,"Dec 16, 2021 12:55:19 AM",cucmpub.hwle.com.au,10.34.20.195
SEP203A07831611,SEP203A07831611,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 2:17:33 AM",cucmpub.hwle.com.au,10.34.20.185
SEP203A0783165F,SEP203A0783165F,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 5:31:52 AM",cucmpub.hwle.com.au,10.36.20.153
SEP203A0783167D,SEPCCEF488D8684,Cisco 8945,SCCP,Registered,Now,"Apr 5, 2022 5:02:10 AM",cucmsub1.hwle.com.au,10.22.20.98
SEP203A07831695,SEPCCEF488D8684,Cisco 8945,SCCP,Registered,Now,"Apr 5, 2022 6:29:02 AM",cucmsub1.hwle.com.au,10.23.20.33
SEP203A0783169D,SEP203A0783169D,Cisco 8945,SCCP,None,Never,,,None
SEP203A078316A3,SEPCCEF488D8684,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 5:19:39 AM",cucmsub1.hwle.com.au,10.22.20.41
SEP203A07831701,SEPCCEF488D8684,Cisco 8945,SCCP,None,Never,,,None
SEP203A07831751,SEP203A07831751,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 5:47:49 AM",cucmpub.hwle.com.au,10.34.20.40
SEP203A078317B7,SEP203A078317B7,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 6:47:18 AM",cucmsub1.hwle.com.au,10.44.20.36
SEP203A078317E1,SEP203A078317E1,Cisco 8945,SCCP,Registered,Now,"Apr 6, 2022 4:15:41 AM",cucmpub.hwle.com.au,10.34.20.238
SEP203A0783184F,SEPCCEF488D8684,Cisco 8945,SCCP,None,Never,,,None
SEP203A0783185B,SEPCCEF488D860E,Cisco 8945,SCCP,Registered,Now,"Mar 30, 2022 1:52:45 AM",cucmpub.hwle.com.au,10.34.20.181
SEP203A07831877,SEP203A07831877,Cisco 8945,SCCP,Registered,Now,"Mar 18, 2022 1:02:33 AM",cucmpub.hwle.com.au,10.36.20.187
SEP203A0783189F,SEP203A0783189F,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 7:23:03 AM",cucmpub.hwle.com.au,10.35.20.53
SEP203A078318B5,SEP203A078318B5,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 2:47:26 AM",cucmpub.hwle.com.au,10.35.20.96
SEP203A07831E6B,SEP203A07831E6B,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 8:17:06 AM",cucmpub.hwle.com.au,10.34.20.199
SEP203A07831FB5,SEP8478ACEC9DC5,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 6:20:31 AM",cucmsub1.hwle.com.au,10.51.20.41
SEP203A07832C47,SEP203A07832C47,Cisco 8945,SCCP,Registered,Now,"Dec 21, 2021 10:22:43 PM",cucmpub.hwle.com.au,10.36.20.171
SEP203A07834589,SEP203A07834589,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 3:56:19 AM",cucmpub.hwle.com.au,10.35.20.50
SEP203A078345A3,SEP203A078345A3,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 4:08:45 AM",cucmpub.hwle.com.au,10.36.20.120
SEP203A078345B3,SEP203A078345B3,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 7:22:53 AM",cucmpub.hwle.com.au,10.35.20.157
SEP203A0783461F,SEP203A0783461F,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 11:45:12 PM",cucmpub.hwle.com.au,10.35.20.144
SEP203A07834621,SEP203A07834621,Cisco 8945,SCCP,Registered,Now,"Apr 6, 2022 2:57:25 AM",cucmpub.hwle.com.au,10.35.20.37
SEP203A0783463B,SEP203A0783463B,Cisco 8945,SCCP,Registered,Now,"Mar 17, 2022 11:16:56 PM",cucmpub.hwle.com.au,10.36.20.101
SEP203A07834657,SEP203A07834657,Cisco 8945,SCCP,Registered,Now,"Apr 1, 2022 7:07:55 AM",cucmpub.hwle.com.au,10.35.20.36
SEP203A07834661,SEP203A07834661,Cisco 8945,SCCP,Registered,Now,"Feb 22, 2022 12:05:25 AM",cucmpub.hwle.com.au,10.34.20.194
SEP203A07834665,SEP203A07834665,Cisco 8945,SCCP,Registered,Now,"Mar 31, 2022 10:41:48 PM",cucmsub1.hwle.com.au,10.21.20.157
SEP203A07834667,SEP203A07834667,Cisco 8945,SCCP,Registered,Now,"Apr 11, 2022 12:46:54 AM",cucmsub1.hwle.com.au,10.90.20.38
SEP203A07834693,SEP203A07834693,Cisco 8945,SCCP,None,Never,,,None
SEP203A078346E1,SEP203A078346E1,Cisco 8945,SCCP,None,"Apr 6, 2022 2:23:55 PM","Jan 17, 2022 9:52:01 PM",cucmsub1,None
SEP203A078346F7,SEP1CE6C79A64C7,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 6:24:08 AM",cucmsub1.hwle.com.au,10.29.20.58
SEP203A078346FB,SEP203A078346FB,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 2:58:18 AM",cucmsub1.hwle.com.au,10.23.20.150
SEP203A07834703,SEP203A07834703,Cisco 8945,SCCP,Registered,Now,"Apr 6, 2022 10:01:29 AM",cucmsub1.hwle.com.au,10.22.20.89
SEP203A07834707,SEP203A07834707,Cisco 8945,SCCP,Registered,Now,"Mar 23, 2022 1:19:10 AM",cucmsub1.hwle.com.au,10.27.20.47
SEP203A0783470D,SEP203A0783470D,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 7:28:35 AM",cucmpub.hwle.com.au,10.36.20.118
SEP203A07834713,SEP203A07834713,Cisco 8945,SCCP,Registered,Now,"Apr 5, 2022 2:03:47 AM",cucmsub1.hwle.com.au,10.90.20.148
SEP203A0783471F,SEP203A0783471F,Cisco 8945,SCCP,Registered,Now,"Mar 29, 2022 5:18:32 AM",cucmpub.hwle.com.au,10.36.20.138
SEP203A07834735,SEP203A07834735,Cisco 8945,SCCP,Registered,Now,"Apr 6, 2022 6:35:18 AM",cucmpub.hwle.com.au,10.35.20.61
SEP203A07834761,SEP203A07834761,Cisco 8945,SCCP,Registered,Now,"Apr 8, 2022 6:38:11 AM",cucmsub1.hwle.com.au,10.29.20.64
SEP203A078347C5,SEP203A078347C5,Cisco 8945,SCCP,Registered,Now,"Apr 5, 2022 5:56:25 AM",cucmsub1.hwle.com.au,10.23.20.163
SEP203A07834D23,SEP203A07834D23,Cisco 8945,SCCP,Registered,Now,"Apr 7, 2022 1:33:16 AM",cucmsub1.hwle.com.au,10.21.20.101
SEP203A07835729,SEP203A07835729,Cisco 8945,SCCP,Registered,Now,"Mar 31, 2022 11:24:42 PM",cucmsub1.hwle.com.au,10.61.20.61
